topological coefficient,degree
0.043405961,70
0.036758202,70
0.027633172,70
0.026404834,70
0.024761639,70
0.023790876,70
0.022397035,70
0.03630346,69
0.027336761,69
0.027249206,69
0.026046838,69
0.0236661,69
0.023188406,69
0.022744299,69
0.021614749,69
0.021419268,69
0.039231712,68
0.029601321,68
0.02844691,68
0.028230335,68
0.027471372,68
0.026722212,68
0.02611587,68
0.02575232,68
0.044620037,67
0.035387674,67
0.034776984,67
0.032341925,67
0.029589113,67
0.029203299,67
0.027509624,67
0.026211895,67
0.025380184,67
0.023863436,67
0.022199966,67
0.045719599,66
0.03595609,66
0.026107897,66
0.025757967,66
0.02522865,66
0.02413225,66
0.021706571,66
0.020074822,66
0.046829315,65
0.03831633,65
0.033066269,65
0.031208347,65
0.031202778,65
0.028931509,65
0.028874193,65
0.026903821,65
0.025882764,65
0.025461557,65
0.025277734,65
0.025155849,65
0.023270453,65
0.022780383,65
0.019815583,65
0.046570733,64
0.036034045,64
0.032517677,64
0.03183911,64
0.03154933,64
0.03101959,64
0.02525041,64
0.021737259,64
0.021420406,64
0.041206516,63
0.030832211,63
0.030626448,63
0.02935426,63
0.028893529,63
0.027357772,63
0.024565268,63
0.024013522,63
0.02285641,63
0.021481951,63
0.021100274,63
0.041043952,62
0.039109669,62
0.031618139,62
0.031220839,62
0.030054958,62
0.029798708,62
0.028610164,62
0.027632956,62
0.027125838,62
0.027026769,62
0.026931045,62
0.026469596,62
0.026021148,62
0.0251506,62
0.023757695,62
0.023637955,62
0.023609107,62
0.022739377,62
0.021722164,62
0.021153252,62
0.020852679,62
0.048508143,61
0.033888554,61
0.032130005,61
0.028977839,61
0.027690947,61
0.026842347,61
0.02621596,61
0.02520296,61
0.021691741,61
0.021212943,61
0.037855155,60
0.035327245,60
0.035200824,60
0.032787631,60
0.032598184,60
0.032285866,60
0.030651009,60
0.030258047,60
0.029779855,60
0.028149024,60
0.028032415,60
0.027369104,60
0.026420038,60
0.025329774,60
0.022000341,60
0.044911116,59
0.043076319,59
0.03860038,59
0.033286063,59
0.031540202,59
0.030192289,59
0.028325754,59
0.027481073,59
0.027281894,59
0.026997439,59
0.026082416,59
0.025128306,59
0.024829022,59
0.024622142,59
0.024413805,59
0.020577704,59
0.047560615,58
0.043761328,58
0.041026404,58
0.035208525,58
0.032508136,58
0.032090694,58
0.03073527,58
0.030121274,58
0.028510152,58
0.028268479,58
0.027621652,58
0.026107247,58
0.025371863,58
0.024238478,58
0.053759938,57
0.045798707,57
0.036240487,57
0.033819447,57
0.033091914,57
0.032747706,57
0.032533305,57
0.030071658,57
0.029521825,57
0.029032865,57
0.028969808,57
0.028941329,57
0.028331103,57
0.028196999,57
0.026312797,57
0.02430486,57
0.054407726,56
0.050264001,56
0.050244449,56
0.041562586,56
0.033832269,56
0.033453829,56
0.031236264,56
0.031163124,56
0.030480973,56
0.029582726,56
0.029565769,56
0.02933421,56
0.029166667,56
0.027884463,56
0.027845727,56
0.027265273,56
0.026361996,56
0.026230798,56
0.025600049,56
0.024520256,56
0.048375777,55
0.045209342,55
0.044867277,55
0.042595411,55
0.041907621,55
0.03521158,55
0.035203751,55
0.034559803,55
0.0338506,55
0.031564298,55
0.030561284,55
0.029751571,55
0.027309682,55
0.026943311,55
0.023128284,55
0.049769189,54
0.047460401,54
0.040585268,54
0.038728522,54
0.036091123,54
0.034747306,54
0.033681168,54
0.030754974,54
0.027797776,54
0.027051909,54
0.025344849,54
0.04451393,53
0.03872161,53
0.038533341,53
0.037459849,53
0.037311108,53
0.034701113,53
0.034358978,53
0.03388401,53
0.033578875,53
0.033018868,53
0.032636974,53
0.031524522,53
0.028688791,53
0.027159216,53
0.024798214,53
0.024286623,53
0.023142915,53
0.051618879,52
0.046391358,52
0.040161756,52
0.037251545,52
0.0361758,52
0.035500877,52
0.034730742,52
0.034352725,52
0.033986293,52
0.03384976,52
0.033555678,52
0.033521635,52
0.033326347,52
0.031673471,52
0.031541095,52
0.03114401,52
0.030886589,52
0.030535625,52
0.029862223,52
0.029379289,52
0.02935362,52
0.028346804,52
0.027745304,52
0.027314012,52
0.025116863,52
0.04591237,51
0.044842591,51
0.03771253,51
0.035978542,51
0.034900177,51
0.034564835,51
0.033612208,51
0.031474188,51
0.029107459,51
0.028805464,51
0.027934461,51
0.024465801,51
0.022769484,51
0.058734539,50
0.048011303,50
0.047085031,50
0.046597087,50
0.045023891,50
0.038607746,50
0.037779168,50
0.036506955,50
0.034628034,50
0.033885057,50
0.033361558,50
0.032948173,50
0.032414996,50
0.032313639,50
0.031828877,50
